LATAM;Country Name;Country Code;URL Bandera;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
x;Argentina;ARG;https://www.worldometers.info/img/flags/ar-flag.gif; $76.629.657.863,66 ; $141.352.654.305,16 ; $189.719.984.268,49 ; $228.778.917.308,17 ; $236.741.715.015,02 ; $257.440.000.000,00 ; $258.031.750.000,00 ; $272.149.750.000,00 ; $292.859.000.000,00 ; $298.948.250.000,00 ; $283.523.000.000,00 ; $284.203.750.000,00 ; $268.696.750.000,00 ; $97.724.004.251,86 ; $127.586.973.492,18 ; $164.657.930.452,79 ; $198.737.095.012,28 ; $232.557.260.817,31 ; $287.530.508.430,57 ; $361.558.037.110,42 ; $332.976.484.577,62 ; $423.627.422.092,49 ; $530.158.122.010,44 ; $545.982.375.701,13 ; $552.025.140.252,25 ; $526.319.673.731,64 ; $594.749.285.413,21 ; $557.532.320.662,96 ; $643.628.393.281,36 ; $524.819.892.360,18 ; $447.754.683.615,23 ; $385.740.508.436,97 ; $487.902.572.164,35 ; $631.133.384.439,94 
x;Bolivia;BOL;https://www.worldometers.info/img/flags/bl-flag.gif; $4.715.973.437,39 ; $4.867.582.597,52 ; $5.343.262.457,10 ; $5.643.868.748,68 ; $5.734.699.488,85 ; $5.981.222.858,83 ; $6.715.161.732,23 ; $7.396.949.126,36 ; $7.925.736.821,45 ; $8.497.494.652,13 ; $8.285.064.434,57 ; $8.397.855.484,77 ; $8.141.516.928,39 ; $7.905.485.146,44 ; $8.082.399.639,54 ; $8.773.451.751,51 ; $9.549.122.905,33 ; $11.451.844.902,22 ; $13.120.108.008,35 ; $16.674.276.285,90 ; $17.339.992.193,73 ; $19.649.723.722,10 ; $23.963.164.696,59 ; $27.084.497.481,91 ; $30.659.338.885,67 ; $32.996.188.017,37 ; $33.000.198.248,91 ; $33.941.126.193,92 ; $37.508.642.170,77 ; $40.287.647.930,54 ; $40.895.322.850,94 ; $36.629.843.806,08 ; $40.406.111.695,18 ; $44.008.282.877,96 
x;Brazil;BRA;https://www.worldometers.info/img/flags/br-flag.gif; $425.595.310.393,46 ; $461.951.781.818,18 ; $407.337.837.837,84 ; $390.590.371.724,56 ; $438.302.216.833,01 ; $546.229.749.726,26 ; $769.333.050.986,91 ; $850.426.432.991,74 ; $883.206.179.730,46 ; $863.710.759.256,44 ; $599.642.024.319,53 ; $655.448.231.983,53 ; $559.983.634.798,98 ; $509.795.273.806,72 ; $558.233.745.651,87 ; $669.289.424.806,31 ; $891.633.839.853,11 ; $1.107.626.541.710,74 ; $1.397.114.486.471,38 ; $1.695.855.083.552,05 ; $1.666.996.438.681,46 ; $2.208.837.745.214,23 ; $2.616.156.223.977,47 ; $2.465.227.803.011,57 ; $2.472.819.535.742,73 ; $2.456.043.727.198,85 ; $1.802.212.206.904,68 ; $1.795.693.482.652,52 ; $2.063.514.977.334,32 ; $1.916.933.898.038,36 ; $1.873.288.205.186,45 ; $1.476.107.231.194,11 ; $1.649.622.821.885,14 ; $1.920.095.779.022,73 
x;Chile;CHL;https://www.worldometers.info/img/flags/ci-flag.gif; $29.936.735.454,61 ; $33.137.824.752,77 ; $37.846.188.180,81 ; $45.949.608.605,23 ; $49.287.378.587,55 ; $56.998.601.233,07 ; $73.444.831.587,43 ; $78.584.098.982,91 ; $85.741.415.248,45 ; $81.990.010.726,02 ; $75.578.685.736,12 ; $78.339.750.717,04 ; $71.574.739.558,69 ; $70.264.045.959,60 ; $76.492.579.644,06 ; $99.075.985.721,57 ; $122.294.145.211,37 ; $153.843.518.110,85 ; $172.491.075.948,36 ; $179.894.594.475,98 ; $171.777.900.623,18 ; $217.051.209.240,30 ; $251.382.574.083,74 ; $267.024.782.642,39 ; $277.395.018.674,68 ; $259.560.978.407,10 ; $242.450.355.827,83 ; $249.344.864.067,96 ; $276.154.259.806,31 ; $295.857.562.826,43 ; $278.598.887.622,96 ; $254.258.196.269,74 ; $316.581.155.648,87 ; $301.024.724.911,92 
x;Colombia;COL;https://www.worldometers.info/img/flags/co-flag.gif; $39.540.080.200,39 ; $47.844.090.709,99 ; $49.637.993.948,84 ; $58.394.443.377,54 ; $66.474.101.301,18 ; $81.705.497.616,57 ; $92.495.970.511,40 ; $97.153.389.010,95 ; $106.656.492.293,61 ; $98.486.358.581,16 ; $86.278.947.636,96 ; $99.875.074.951,03 ; $98.200.641.203,39 ; $97.945.812.802,89 ; $94.644.969.157,10 ; $117.092.416.666,25 ; $145.600.529.626,71 ; $161.792.958.886,81 ; $206.229.540.893,23 ; $242.504.150.472,93 ; $232.468.663.073,68 ; $286.498.534.094,96 ; $334.966.134.865,30 ; $370.691.143.086,76 ; $382.093.697.077,69 ; $381.240.864.422,41 ; $293.492.370.228,84 ; $282.720.100.286,23 ; $311.866.875.135,58 ; $334.198.218.100,72 ; $323.031.701.210,77 ; $270.150.956.772,57 ; $318.511.813.576,97 ; $343.622.114.560,41 
x;Costa Rica;CRI;https://www.worldometers.info/img/flags/cs-flag.gif; $5.251.025.767,48 ; $5.711.687.786,76 ; $7.196.276.092,46 ; $8.564.041.916,15 ; $9.582.868.487,43 ; $10.486.787.008,09 ; $11.578.594.259,87 ; $11.678.424.507,25 ; $12.614.602.382,20 ; $13.684.255.946,58 ; $14.254.866.281,15 ; $15.013.629.658,65 ; $15.976.174.336,97 ; $16.578.820.687,29 ; $17.271.760.506,95 ; $18.610.594.846,21 ; $20.040.642.476,98 ; $22.715.540.324,69 ; $26.884.700.344,84 ; $30.801.744.881,95 ; $30.745.714.312,99 ; $37.658.614.803,85 ; $42.762.613.699,95 ; $47.231.655.431,14 ; $50.949.668.840,87 ; $52.016.408.951,82 ; $56.441.920.821,08 ; $58.847.019.609,65 ; $60.516.044.657,23 ; $62.420.164.991,54 ; $64.417.670.521,18 ; $62.395.610.760,39 ; $64.960.725.734,24 ; $69.243.626.028,67 
x;Dominican Republic;DOM;https://www.worldometers.info/img/flags/dr-flag.gif; $6.686.593.059,94 ; $7.073.675.544,79 ; $9.824.483.339,95 ; $11.605.382.504,00 ; $13.081.042.400,00 ; $14.644.734.599,48 ; $16.637.370.839,16 ; $18.241.622.547,59 ; $20.017.450.041,31 ; $21.672.215.546,76 ; $22.136.579.396,92 ; $24.305.780.628,67 ; $25.601.823.687,57 ; $27.137.440.786,26 ; $21.403.167.848,14 ; $22.322.387.382,49 ; $35.777.560.683,94 ; $37.879.830.084,26 ; $43.965.458.508,51 ; $48.122.601.530,33 ; $48.261.078.913,73 ; $53.860.187.257,96 ; $58.029.773.599,46 ; $60.681.535.652,54 ; $62.682.159.338,04 ; $67.179.955.677,28 ; $71.164.826.836,53 ; $75.704.647.877,66 ; $79.998.046.305,79 ; $85.555.390.139,12 ; $88.941.372.558,24 ; $78.844.656.298,18 ; $94.243.425.938,36 ; $113.537.368.176,13 
x;Ecuador;ECU;https://www.worldometers.info/img/flags/ec-flag.gif; $13.890.823.704,55 ; $15.239.272.611,58 ; $16.988.535.267,63 ; $18.094.238.119,06 ; $18.938.717.358,68 ; $22.708.673.336,67 ; $24.432.884.442,22 ; $25.226.393.196,60 ; $28.162.053.026,51 ; $27.981.896.948,47 ; $19.645.272.636,32 ; $18.327.764.882,44 ; $24.468.324.000,00 ; $28.548.945.000,00 ; $32.432.858.000,00 ; $36.591.661.000,00 ; $41.507.085.000,00 ; $46.802.044.000,00 ; $51.007.777.000,00 ; $61.762.635.000,00 ; $62.519.686.000,00 ; $69.555.367.000,00 ; $79.276.664.000,00 ; $87.924.544.000,00 ; $95.129.659.000,00 ; $101.726.331.000,00 ; $99.290.381.000,00 ; $99.937.696.000,00 ; $104.295.862.000,00 ; $107.562.008.000,00 ; $108.108.009.000,00 ; $99.291.124.000,00 ; $106.165.866.000,00 ; $115.049.476.000,00 
x;Guatemala;GTM;https://www.worldometers.info/img/flags/gt-flag.gif; $8.410.724.360,80 ; $7.650.196.845,22 ; $9.406.135.143,41 ; $10.440.781.587,54 ; $11.400.017.301,46 ; $12.983.233.310,75 ; $14.655.404.433,28 ; $15.674.835.615,31 ; $17.790.026.221,61 ; $19.395.491.992,99 ; $18.318.412.251,36 ; $19.288.929.030,05 ; $18.405.220.247,44 ; $20.444.205.991,03 ; $21.576.351.798,91 ; $23.577.298.094,66 ; $26.783.389.293,92 ; $29.744.246.827,18 ; $33.567.850.824,10 ; $38.503.720.224,32 ; $37.126.148.264,64 ; $40.676.578.423,49 ; $46.876.006.272,24 ; $49.593.929.487,13 ; $52.996.446.269,44 ; $57.852.153.058,50 ; $62.186.064.718,74 ; $66.053.403.469,00 ; $71.653.754.066,28 ; $73.328.365.862,43 ; $77.172.317.258,65 ; $77.715.183.063,21 ; $86.053.083.476,03 ; $95.003.330.315,88 
x;Honduras;HND;https://www.worldometers.info/img/flags/ho-flag.gif; $5.432.344.901,72 ; $4.923.009.551,56 ; $4.648.668.478,57 ; $4.943.700.431,07 ; $4.926.728.932,95 ; $4.642.280.682,14 ; $5.347.445.005,21 ; $5.215.028.986,49 ; $5.737.099.650,19 ; $6.366.340.265,88 ; $6.414.520.529,62 ; $7.186.638.029,06 ; $7.651.162.302,35 ; $7.858.255.412,86 ; $8.230.391.346,67 ; $8.869.299.234,34 ; $9.757.012.696,56 ; $10.917.477.066,14 ; $12.361.257.680,56 ; $13.881.731.875,75 ; $14.587.496.229,18 ; $15.839.344.591,98 ; $17.710.275.685,41 ; $18.528.554.397,57 ; $18.499.729.214,90 ; $19.756.533.971,87 ; $20.979.791.685,42 ; $21.717.604.952,18 ; $23.136.247.990,60 ; $24.067.750.760,50 ; $25.089.937.021,54 ; $23.827.859.226,88 ; $28.488.721.680,85 ; $31.717.699.764,36 
